ator_id	titulo_id	nome_personagem	tipo	titulo	ano_lancamento	generos	nome_ator	ano_nascimento	nota	numero_votos	duracao	sinopse
nm0000206	tt0091065	Tommy Warneki	Filme	Voando para o Sucesso	1986	['Drama', 'Romance', 'Esporte']	Keanu Reeves	1964	5.1	761	90.0	Uma estudante do ensino médio, habilidosa em ginástica, sofre ferimentos graves em um acidente de carro. Seu futuro mostrará o que é mais forte: os sonhos ou a realidade.
nm0000206	tt0091860	Matt	Filme	Juventude Assassina	1986	['Crime', 'Drama']	Keanu Reeves	1964	6.9	21999	99.0	Baseado em fatos verídicos, um perturbador retrato da alienação juvenil. Mostra um grupo de colegas de escola, todos amigos, que precisam lidar com o fato de que um deles matou outro. Grandes atuações de Crispin Glover, Dennis Hopper e Keanu Reeves.
nm0000206	tt0094947	Chevalier Danceny	Filme	Ligações Perigosas	1988	['Drama', 'Romance']	Keanu Reeves	1964	7.5	77456	119.0	França, 1788. A Marquesa de Merteuil (Glenn Close) precisa de um favor do seu ex-amante, o Visconde de Valmont (John Malkovich), pois seu ex-marido está planejando se casar com uma jovem virgem e ela deseja que o Marquês, que é conhecido por sua vida devassa e suas conquistas amorosas, a seduza antes do dia do casamento. No entanto, ele tem outros planos, pois planeja conquistar uma bela mulher casada (Michelle Pfeiffer), que sempre se mostrou fiel ao marido e é religiosa. A Marquesa exige então uma prova escrita dos seus encontros amorosos e, se ele conseguir tal façanha, ela lhe promete como recompensa passarem uma noite juntos. Mas os jogos de sedução fogem do controle e os resultados são bem mais trágicos do que se podia imaginar.
nm0000206	tt0095730	Winston Connelly	Filme	Uma Noite Muito Louca	1988	['Comédia']	Keanu Reeves	1964	6.1	3910	90.0	A garota mais popular do colégio perde uma aposta para as amigas e é obrigada a ir ao Baile de Formatura com o garoto mais nerd do colégio: Winston Connelly. Só que seus problemas estão apenas começando. Winston erra o caminho e eles vão parar no lado mais barra pesada da cidade. Vestidos para o baile, com o carro esporte do pai e uma carteira recheada, suas perspectivas não são das melhores e a noite não vai ser bem o que eles esperavam.
nm0000206	tt0095853	Chris Townsend	Filme	Para Sempre na Memória	1988	['Drama', 'Música', 'Romance']	Keanu Reeves	1964	6.4	2378	91.0	Numa pequena cidade do interior americano, suicídio de estudante secundarista durante uma festa provoca transformações na vida dos amgos e de todas as pessoas envolvidas.
nm0000206	tt0095903	Rupert Marshetta	Filme	O Príncipe da Pensilvânia	1988	['Comédia', 'Drama']	Keanu Reeves	1964	5.6	1497	87.0	Jovem punk sonha em fugir da obrigação de assumir a mina de carvão da família. Para conseguir o seu sustento, ele e sua excêntrica namorada são capazes até de seqüestrar seu próprio pai. O único problema é que ninguém parece estar disposto a pagar o resgate.
nm0000206	tt0096928	Ted 'Theodore' Logan	Filme	Bill & Ted: Uma Aventura Fantástica	1989	['Aventura', 'Comédia', 'Música']	Keanu Reeves	1964	6.9	145600	90.0	Dois adolescentes viajam em uma máquina do tempo para fazer uma pesquisa escolar e evitar o fim de sua banda. Na viagem, eles conhecem personalidades históricas que vão ajudá-los a escapar da reprovação.
nm0000206	tt0098067	Tod Higgins	Filme	O Tiro Que Não Saiu Pela Culatra	1989	['Comédia', 'Drama']	Keanu Reeves	1964	7.1	56749	124.0	O perfeccionista Gil Buckman luta com os problemas de sua família e as deficiências de suas crianças, achando que elas refletem uma educação pobre. Uma de suas irmãs tem dificuldades com sua filha adolescente que fica grávida. A outra briga com o marido quando ela o diz que quer ter mais filhos. Já o irmão imaturo de Gil tem um filho jovem que ele mal consegue controlar.
nm0000206	tt0098752	Ted Logan	Série de TV	As Excelentes Aventuras de Bill & Ted	1990	['Aventura', 'Animação', 'Comédia']	Keanu Reeves	1964	6.4	1977	30.0	A primeira temporada da série animada foi produzida por Hanna-Barbera e exibida na CBS. Para a segunda temporada em 1991, a série animada trocou de produtora e de redes, agora exibida pela Fox Kids, e produzida pela DIC Animation City.
nm0000206	tt0099819	Marlon	Filme	Te Amarei Até Te Matar	1990	['Comédia', 'Crime']	Keanu Reeves	1964	6.4	16068	97.0	A esposa de um mulherengo acredita que ele passe seu tempo trabalhando, até que sua vida desmorona quando descobre foi enganada. Por ser católica, o divórcio está fora de questão. Assim, com a ajuda da mãe, decide matá-lo. Elas chegam a drogá-lo, mas não conseguem eliminá-lo e pedem ajuda a um amigo, que também nada faz. Então decidem contratar profissionais, que na verdade são dois viciados que não sabem o que ocorre ao redor deles e não falam coisa com coisa.
