ator_id	nome_ator	ano_nascimento
nm0000206	Keanu Reeves	1964
nm0604742	Jeffrey Dean Morgan	1966
nm0799777	J.K. Simmons	1955
nm0005342	Norman Reedus	1969
nm1684869	Troy Baker	1976
nm1102577	Elle Fanning	1998
nm1659221	Sebastian Stan	1982
nm1869101	Ana de Armas	1988
nm2581521	Austin Butler	1991
nm2215143	Kiernan Shipka	1999
nm3154303	Timothée Chalamet	1995
nm3081796	Steven Yeun	1983
nm3480246	Ella Purnell	1996
nm5301405	Mia Goth	1993
nm4911194	Jenna Ortega	2002
nm2794962	Hailee Steinfeld	1996
nm5700898	Mikey Madison	1999
nm3528821	Emma Myers	2002
