ator_id	titulo_id	nome_personagem
nm0000206	tt0091065	Tommy Warneki
nm0000206	tt0091860	Matt
nm0000206	tt0094947	Chevalier Danceny
nm0000206	tt0095730	Winston Connelly
nm0000206	tt0095853	Chris Townsend
nm0000206	tt0095903	Rupert Marshetta
nm0000206	tt0096928	Ted 'Theodore' Logan
nm0000206	tt0098067	Tod Higgins
nm0000206	tt0098752	Ted Logan
nm0000206	tt0099819	Marlon
nm0000206	tt0100822	Martin Loader
nm0000206	tt0101452	Ted
nm0000206	tt0102494	Scott Favor
nm0000206	tt0102685	Johnny Utah
nm0604742	tt0103158	Sharkey
nm0000206	tt0103874	Jonathan Harker
nm0000206	tt0106834	Julian Gitche
nm0000206	tt0107426	Siddhartha
nm0000206	tt0107616	Don John
nm0000206	tt0111257	Jack Traven
nm0000206	tt0113481	Johnny Mnemonic
nm0604742	tt0114786	Ramone
nm0000206	tt0114887	Paul Sutton
nm0604742	tt0115123	Dr. Edward Marcase
nm0000206	tt0115857	Eddie Kasalivich
nm0000206	tt0116289	Jjaks Clayton
nm0799777	tt0118421	Vern Schillinger
nm0799777	tt0118727	Mr. Shulman
nm0000206	tt0118971	Kevin Lomax
nm0799777	tt0119395	Witherspoon
nm0000206	tt0119502	Harry
nm0005342	tt0119986	Danny
nm0799777	tt0126916	Frank Perry
nm0005342	tt0127288	Harry
nm0005342	tt0127288	son
nm0005342	tt0129023	Young Man
nm0604742	tt0130073	Todd Hunter
nm0000206	tt0133093	Neo
nm0799777	tt0138493	Ray Tilman
nm0005342	tt0139216	Van
nm0005342	tt0144117	Murphy MacManus
nm0799777	tt0145487	J. Jonah Jameson
nm0005342	tt0151331	Brautigan
nm0799777	tt0165607	Hoyd
nm0799777	tt0174480	Dr. Tom Grandy
nm0000206	tt0175080	Eric
nm0005342	tt0176783	Travis
nm0799777	tt0177666	Guy
nm0005342	tt0177680	Larry
nm0000206	tt0180734	Conor O'Neill
nm0005342	tt0187738	Scud
nm1684869	tt0189973	Additional Voices
nm1684869	tt0189974	Additional Voices
nm0005342	tt0190736	Jack
nm0000206	tt0191397	Shane Falco
nm0000206	tt0204626	Griffin
nm0005342	tt0211941	Lucien Carr
nm0005342	tt0218032	Nick Nero
nm0000206	tt0219699	Donnie Barksdale
nm0000206	tt0230838	Nelson Moss
nm0005342	tt0231448	Marco
nm0000206	tt0234215	Neo
nm0799777	tt0236493	Ted Slocum
nm0000206	tt0242653	Neo
nm1684869	tt0245612	Action Bastard
nm0005342	tt0249846	Kurt
nm0005342	tt0249892	Jonathan Casey
nm0799777	tt0316654	J. Jonah Jameson
nm1102577	tt0317132	Sweetie Pie Thomas
nm0799777	tt0317648	Buffalo Bill Cody
nm0000206	tt0318761	Perry Lyman
nm0005342	tt0323465	Recovery Man
nm0799777	tt0332285	George
nm0799777	tt0335245	Garth Pancake
nm0005342	tt0337573	Polizist Schmitz
nm0000206	tt0337741	Julian Mercer
nm0604742	tt0344777	Tom Newman
nm1102577	tt0348593	Ruth Cole
nm0000206	tt0360486	John Constantine
nm0000206	tt0368574	Neo
nm1659221	tt0375145	Johnny
nm0005342	tt0375172	Robert
nm0005342	tt0376263	Archie
nm0799777	tt0397139	Dep. Dist. Atty. Joe Carter
nm0000206	tt0405296	Bob Arctor
nm0604742	tt0409459	Edward Blake
nm0604742	tt0409459	Comedian
nm1684869	tt0409536	Additional Voices
nm0000206	tt0410297	Alex Wyler
nm0799777	tt0413300	J. Jonah Jameson
nm1659221	tt0415234	Simon
nm1684869	tt0420526	Severin
nm1684869	tt0420526	Kagan
nm0000206	tt0421073	Detective Tom Ludlow
nm0005342	tt0426114	Ray Perso
nm0799777	tt0427944	BR
